,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds.1,TD.1,College/Univ,PFR_URL,Height,Weight
0,2019,1,25,Marquise Brown,WR,22.0,BAL,2019.0,2019.0,0,0,1,0.0,5.0,4.0,,,,21.0,326.0,3.0,Oklahoma,http://www.pro-football-reference.com/players/B/BrowMa04.htm,69,170
2,2019,2,36,Deebo Samuel,WR,23.0,SFO,2019.0,2019.0,0,0,0,0.0,6.0,3.0,5.0,37.0,1.0,18.0,187.0,1.0,South Carolina,http://www.pro-football-reference.com/players/S/SamuDe00.htm,71,214
3,2019,2,51,A.J. Brown,WR,22.0,TEN,2019.0,2019.0,0,0,1,0.0,8.0,5.0,1.0,-2.0,0.0,22.0,348.0,3.0,Mississippi,http://www.pro-football-reference.com/players/B/BrowAJ00.htm,72,226
4,2019,2,56,Mecole Hardman,WR,21.0,KAN,2019.0,2019.0,0,0,0,0.0,8.0,3.0,2.0,1.0,0.0,20.0,374.0,4.0,Georgia,http://www.pro-football-reference.com/players/H/HardMe00.htm,70,187
5,2019,2,57,JJ Arcega-Whiteside,WR,22.0,PHI,2019.0,2019.0,0,0,0,0.0,8.0,1.0,,,,2.0,14.0,0.0,Stanford,http://www.pro-football-reference.com/players/A/ArceJJ00.htm,74,225
6,2019,2,59,Parris Campbell,WR,22.0,IND,2019.0,2019.0,0,0,0,0.0,5.0,1.0,1.0,7.0,0.0,10.0,62.0,1.0,Ohio St.,http://www.pro-football-reference.com/players/C/CampPa00.htm,72,205
7,2019,2,62,Andy Isabella,WR,22.0,ARI,2019.0,2019.0,0,0,0,0.0,7.0,1.0,3.0,16.0,0.0,2.0,8.0,0.0,Massachusetts,http://www.pro-football-reference.com/players/I/IsabAn00.htm,69,188
8,2019,2,64,D.K. Metcalf,WR,21.0,SEA,2019.0,2019.0,0,0,1,0.0,8.0,7.0,1.0,4.0,0.0,23.0,402.0,4.0,Mississippi,http://www.pro-football-reference.com/players/M/MetcDK00.htm,76,229
9,2019,3,66,Diontae Johnson,WR,23.0,PIT,2019.0,2019.0,0,0,1,0.0,7.0,5.0,1.0,6.0,0.0,25.0,296.0,3.0,Toledo,http://www.pro-football-reference.com/players/J/JohnDi01.htm,70,183
11,2019,3,76,Terry McLaurin,WR,23.0,WAS,2019.0,2019.0,0,0,1,0.0,7.0,7.0,,,,28.0,458.0,5.0,Ohio St.,http://www.pro-football-reference.com/players/M/McLaTe00.htm,72,210
12,2019,3,93,Miles Boykin,WR,22.0,BAL,2019.0,2019.0,0,0,1,0.0,7.0,6.0,,,,9.0,131.0,2.0,Notre Dame,http://www.pro-football-reference.com/players/B/BoykMi00.htm,76,220
16,2019,5,149,Hunter Renfrow,WR,23.0,OAK,2019.0,2019.0,0,0,0,0.0,7.0,1.0,,,,18.0,203.0,1.0,Clemson,http://www.pro-football-reference.com/players/R/RenfHu00.htm,70,185
17,2019,5,171,Darius Slayton,WR,22.0,NYG,2019.0,2019.0,0,0,0,0.0,6.0,3.0,,,,16.0,267.0,3.0,Auburn,http://www.pro-football-reference.com/players/S/SlayDa01.htm,73,190
18,2019,6,174,KeeSean Johnson,WR,22.0,ARI,2019.0,2019.0,0,0,0,0.0,7.0,3.0,1.0,3.0,0.0,17.0,151.0,0.0,Fresno St.,http://www.pro-football-reference.com/players/J/JohnKe07.htm,73,201
20,2019,6,187,Juwann Winfree,WR,23.0,DEN,2019.0,2019.0,0,0,0,0.0,2.0,0.0,,,,,,,Colorado,http://www.pro-football-reference.com/players/W/WinfJu00.htm,75,215
22,2019,6,206,Kelvin Harmon,WR,22.0,WAS,2019.0,2019.0,0,0,0,0.0,8.0,2.0,,,,7.0,69.0,0.0,North Carolina St.,http://www.pro-football-reference.com/players/H/HarmKe00.htm,74,215
23,2019,6,208,Scott Miller,WR,22.0,TAM,2019.0,2019.0,0,0,0,0.0,5.0,0.0,1.0,18.0,0.0,3.0,39.0,0.0,Bowling Green,http://www.pro-football-reference.com/players/M/MillSc01.htm,71,174
24,2019,7,236,John Ursua,WR,25.0,SEA,2019.0,2019.0,0,0,0,0.0,1.0,0.0,,,,,,,Hawaii,http://www.pro-football-reference.com/players/U/UrsuJo00.htm,69,182
27,2019,7,247,Olabisi Johnson,WR,22.0,MIN,2019.0,2019.0,0,0,0,0.0,8.0,0.0,,,,15.0,161.0,1.0,Colorado St.,http://www.pro-football-reference.com/players/J/JohnOl00.htm,72,204
28,2018,1,24,D.J. Moore,WR,21.0,CAR,2018.0,2019.0,0,0,2,8.0,23.0,17.0,15.0,197.0,0.0,93.0,1251.0,3.0,Maryland,http://www.pro-football-reference.com/players/M/MoorD.00.htm,71,215
29,2018,1,26,Calvin Ridley,WR,23.0,ATL,2018.0,2019.0,0,0,1,7.0,24.0,10.0,6.0,27.0,0.0,97.0,1264.0,14.0,Alabama,http://www.pro-football-reference.com/players/R/RidlCa00.htm,73,190
30,2018,2,40,Courtland Sutton,WR,22.0,DEN,2018.0,2019.0,0,0,2,5.0,24.0,15.0,1.0,-1.0,0.0,81.0,1340.0,7.0,SMU,http://www.pro-football-reference.com/players/S/SuttCo00.htm,76,216
31,2018,2,44,Dante Pettis,WR,22.0,SFO,2018.0,2019.0,0,0,1,3.0,19.0,11.0,1.0,-2.0,0.0,37.0,555.0,6.0,Washington,http://www.pro-football-reference.com/players/P/PettDa00.htm,73,195
32,2018,2,47,Christian Kirk,WR,21.0,ARI,2018.0,2019.0,0,0,1,4.0,17.0,12.0,6.0,72.0,0.0,75.0,911.0,3.0,Texas A&M,http://www.pro-football-reference.com/players/K/KirkCh01.htm,71,200
33,2018,2,51,Anthony Miller,WR,23.0,CHI,2018.0,2019.0,0,0,0,4.0,22.0,5.0,7.0,25.0,0.0,49.0,634.0,7.0,Memphis,http://www.pro-football-reference.com/players/M/MillAn02.htm,71,199
34,2018,2,60,James Washington,WR,22.0,PIT,2018.0,2019.0,0,0,1,2.0,20.0,11.0,,,,26.0,378.0,1.0,Oklahoma St.,http://www.pro-football-reference.com/players/W/WashJa00.htm,71,213
35,2018,2,61,DJ Chark,WR,21.0,JAX,2018.0,2019.0,0,0,1,1.0,19.0,7.0,2.0,20.0,0.0,53.0,834.0,6.0,LSU,http://www.pro-football-reference.com/players/C/CharDJ00.htm,76,198
36,2018,3,81,Michael Gallup,WR,22.0,DAL,2018.0,2019.0,0,0,2,4.0,21.0,12.0,,,,60.0,928.0,3.0,Colorado St.,http://www.pro-football-reference.com/players/G/GallMi00.htm,73,198
37,2018,3,91,Tre'Quan Smith,WR,22.0,NOR,2018.0,2019.0,0,0,0,5.0,18.0,8.0,,,,33.0,502.0,6.0,Central Florida,http://www.pro-football-reference.com/players/S/SmitTr03.htm,74,210
38,2018,4,103,Keke Coutee,WR,21.0,HOU,2018.0,2019.0,0,0,0,2.0,12.0,5.0,5.0,14.0,1.0,41.0,441.0,1.0,Texas Tech,http://www.pro-football-reference.com/players/C/CoutKe00.htm,71,180
39,2018,4,105,Antonio Callaway,WR,21.0,CLE,2018.0,2019.0,0,0,1,4.0,19.0,13.0,2.0,7.0,0.0,47.0,619.0,5.0,Florida,http://www.pro-football-reference.com/players/C/CallAn00.htm,71,200
40,2018,4,113,DaeSean Hamilton,WR,23.0,DEN,2018.0,2019.0,0,0,0,2.0,22.0,6.0,,,,41.0,349.0,2.0,Penn St.,http://www.pro-football-reference.com/players/H/HamiDa01.htm,73,206
41,2018,4,132,Jaleel Scott,WR,23.0,BAL,2019.0,2019.0,0,0,0,0.0,2.0,0.0,,,,,,,New Mexico St.,http://www.pro-football-reference.com/players/S/ScotJa02.htm,77,210
43,2018,5,144,Justin Watson,WR,23.0,TAM,2018.0,2019.0,0,0,0,0.0,19.0,0.0,,,,2.0,18.0,0.0,Pennsylvania,http://www.pro-football-reference.com/players/W/WatsJu01.htm,75,215
46,2018,5,174,Marquez Valdes-Scantling,WR,23.0,GNB,2018.0,2019.0,0,0,2,4.0,24.0,17.0,4.0,38.0,0.0,60.0,1001.0,4.0,South Florida,http://www.pro-football-reference.com/players/V/ValdMa00.htm,76,206
47,2018,6,175,Damion Ratley,WR,23.0,CLE,2018.0,2019.0,0,0,0,1.0,18.0,5.0,,,,21.0,247.0,0.0,Texas A&M,http://www.pro-football-reference.com/players/R/RatlDa00.htm,74,200
48,2018,6,185,Deon Cain,WR,22.0,IND,2019.0,2019.0,0,0,0,0.0,6.0,3.0,,,,4.0,52.0,0.0,Clemson,http://www.pro-football-reference.com/players/C/CainDe00.htm,74,202
49,2018,6,187,Ray-Ray McCloud,WR,21.0,BUF,2018.0,2019.0,0,0,0,0.0,16.0,1.0,2.0,4.0,0.0,5.0,36.0,0.0,Clemson,http://www.pro-football-reference.com/players/M/McClRa00.htm,69,190
51,2018,6,194,Russell Gage,WR,22.0,ATL,2018.0,2019.0,0,0,0,1.0,23.0,0.0,1.0,-1.0,0.0,17.0,165.0,0.0,LSU,http://www.pro-football-reference.com/players/G/GageRu00.htm,72,184
52,2018,6,196,Tremon Smith,WR,22.0,KAN,2018.0,2019.0,0,0,0,1.0,18.0,1.0,,,,,,,Central Arkansas,http://www.pro-football-reference.com/players/S/SmitTr04.htm,72,190
54,2018,6,208,Cedrick Wilson,WR,22.0,DAL,2019.0,2019.0,0,0,0,0.0,5.0,0.0,,,,5.0,46.0,0.0,Boise St.,http://www.pro-football-reference.com/players/W/WilsCe01.htm,77,188
55,2018,6,210,Braxton Berrios,WR,22.0,NWE,2019.0,2019.0,0,0,0,0.0,7.0,0.0,,,,3.0,30.0,0.0,Miami (FL),http://www.pro-football-reference.com/players/B/BerrBr00.htm,69,190
56,2018,7,224,Javon Wims,WR,23.0,CHI,2018.0,2019.0,0,0,0,0.0,11.0,2.0,,,,10.0,102.0,1.0,Georgia,http://www.pro-football-reference.com/players/W/WimsJa00.htm,74,221
57,2018,7,228,Marcell Ateman,WR,23.0,OAK,2018.0,2019.0,0,0,0,1.0,9.0,6.0,,,,16.0,190.0,1.0,Oklahoma St.,http://www.pro-football-reference.com/players/A/AtemMa00.htm,76,215
58,2018,7,240,Richie James,WR,23.0,SFO,2018.0,2019.0,0,0,0,2.0,20.0,2.0,,,,14.0,238.0,2.0,Middle Tenn. St.,http://www.pro-football-reference.com/players/J/JameRi00.htm,69,185
59,2018,7,253,Auden Tate,WR,21.0,CIN,2018.0,2019.0,0,0,1,0.0,14.0,6.0,,,,31.0,426.0,1.0,Florida St.,http://www.pro-football-reference.com/players/T/TateAu00.htm,77,228
61,2018,7,256,Trey Quinn,WR,22.0,WAS,2018.0,2019.0,0,0,0,1.0,11.0,5.0,1.0,0.0,0.0,32.0,255.0,2.0,SMU,http://www.pro-football-reference.com/players/Q/QuinTr00.htm,72,200
62,2017,1,5,Corey Davis,WR,22.0,TEN,2017.0,2019.0,0,0,3,10.0,35.0,30.0,6.0,55.0,0.0,123.0,1592.0,6.0,West. Michigan,http://www.pro-football-reference.com/players/D/DaviCo03.htm,75,209
63,2017,1,7,Mike Williams,WR,22.0,LAC,2017.0,2019.0,0,0,1,7.0,33.0,13.0,7.0,28.0,1.0,80.0,1178.0,10.0,Clemson,http://www.pro-football-reference.com/players/W/WillMi07.htm,76,220
64,2017,1,9,John Ross,WR,22.0,CIN,2017.0,2019.0,0,0,2,2.0,20.0,15.0,5.0,21.0,0.0,37.0,538.0,10.0,Washington,http://www.pro-football-reference.com/players/R/RossJo00.htm,71,194
65,2017,2,37,Zay Jones,WR,22.0,BUF,2017.0,2019.0,0,0,2,8.0,37.0,27.0,1.0,0.0,0.0,92.0,1064.0,9.0,East Carolina,http://www.pro-football-reference.com/players/J/JoneZa00.htm,74,200
66,2017,2,40,Curtis Samuel,WR,21.0,CAR,2017.0,2019.0,0,0,2,7.0,29.0,19.0,17.0,184.0,3.0,81.0,952.0,7.0,Ohio St.,http://www.pro-football-reference.com/players/S/SamuCu00.htm,71,195
67,2017,2,62,JuJu Smith-Schuster,WR,20.0,PIT,2017.0,2019.0,0,1,2,21.0,37.0,27.0,1.0,13.0,0.0,199.0,2786.0,17.0,USC,http://www.pro-football-reference.com/players/S/SmitJu00.htm,73,215
68,2017,3,69,Cooper Kupp,WR,24.0,LAR,2017.0,2019.0,0,0,2,15.0,31.0,21.0,6.0,29.0,0.0,160.0,2227.0,16.0,East. Washington,http://www.pro-football-reference.com/players/K/KuppCo00.htm,74,208
69,2017,3,72,Taywan Taylor,WR,22.0,TEN,2017.0,2019.0,0,0,0,6.0,32.0,10.0,8.0,43.0,0.0,53.0,697.0,2.0,Western Kentucky,http://www.pro-football-reference.com/players/T/TaylTa00.htm,71,203
70,2017,3,79,ArDarius Stewart,WR,23.0,NYJ,2017.0,2017.0,0,0,0,1.0,15.0,2.0,7.0,27.0,0.0,6.0,82.0,0.0,Alabama,http://www.pro-football-reference.com/players/S/StewAr00.htm,72,205
72,2017,3,84,Chris Godwin,WR,21.0,TAM,2017.0,2019.0,0,0,1,10.0,39.0,14.0,,,,140.0,2072.0,14.0,Penn St.,http://www.pro-football-reference.com/players/G/GodwCh00.htm,73,209
73,2017,3,96,Kenny Golladay,WR,23.0,DET,2017.0,2019.0,0,0,2,12.0,33.0,25.0,2.0,17.0,0.0,129.0,2048.0,14.0,Northern Illinois,http://www.pro-football-reference.com/players/G/GollKe00.htm,76,214
75,2017,3,106,Amara Darboh,WR,23.0,SEA,2017.0,2017.0,0,0,0,1.0,16.0,0.0,,,,8.0,71.0,0.0,Michigan,http://www.pro-football-reference.com/players/D/DarbAm00.htm,74,215
76,2017,4,110,Dede Westbrook,WR,23.0,JAX,2017.0,2019.0,0,0,2,9.0,31.0,21.0,13.0,118.0,0.0,125.0,1439.0,7.0,Oklahoma,http://www.pro-football-reference.com/players/W/WestDe00.htm,72,178
77,2017,4,117,Josh Reynolds,WR,22.0,LAR,2017.0,2019.0,0,0,1,5.0,40.0,9.0,3.0,7.0,0.0,45.0,613.0,7.0,Texas A&M,http://www.pro-football-reference.com/players/R/ReynJo00.htm,75,196
78,2017,4,118,Mack Hollins,WR,23.0,PHI,2017.0,2019.0,0,0,0,2.0,24.0,3.0,,,,26.0,351.0,1.0,North Carolina,http://www.pro-football-reference.com/players/H/HollMa00.htm,76,221
80,2017,4,133,Ryan Switzer,WR,22.0,DAL,2017.0,2019.0,0,0,0,3.0,39.0,1.0,10.0,26.0,0.0,50.0,321.0,1.0,North Carolina,http://www.pro-football-reference.com/players/S/SwitRy00.htm,68,185
82,2017,4,141,Chad Hansen,WR,22.0,NYJ,2017.0,2017.0,0,0,0,1.0,15.0,1.0,,,,9.0,94.0,0.0,California,http://www.pro-football-reference.com/players/H/HansCh00.htm,74,202
84,2017,5,170,Rodney Adams,WR,22.0,MIN,2017.0,2017.0,0,0,0,0.0,1.0,0.0,,,,,,,South Florida,http://www.pro-football-reference.com/players/A/AdamRo01.htm,73,189
85,2017,5,172,Isaiah McKenzie,WR,22.0,DEN,2017.0,2019.0,0,0,0,2.0,25.0,2.0,15.0,84.0,2.0,29.0,320.0,1.0,Georgia,http://www.pro-football-reference.com/players/M/McKeIs00.htm,68,173
88,2017,6,209,Robert Davis,WR,22.0,WAS,2017.0,2019.0,0,0,0,0.0,4.0,1.0,,,,1.0,11.0,0.0,Georgia St.,http://www.pro-football-reference.com/players/D/DaviRo00.htm,75,210
90,2017,7,226,David Moore,WR,22.0,SEA,2017.0,2019.0,0,0,0,4.0,23.0,7.0,2.0,7.0,0.0,34.0,566.0,6.0,East Central (OK),http://www.pro-football-reference.com/players/M/MoorDa03.htm,72,215
91,2017,7,237,Isaiah Ford,WR,21.0,MIA,2018.0,2019.0,0,0,0,0.0,4.0,0.0,,,,2.0,9.0,0.0,Virginia Tech,http://www.pro-football-reference.com/players/F/FordIs00.htm,74,194
95,2016,1,21,Will Fuller,WR,22.0,HOU,2016.0,2019.0,0,0,3,13.0,38.0,37.0,3.0,6.0,0.0,141.0,2011.0,16.0,Notre Dame,http://www.pro-football-reference.com/players/F/FullWi01.htm,72,184
97,2016,1,23,Laquon Treadwell,WR,21.0,MIN,2016.0,2019.0,0,0,0,4.0,45.0,15.0,,,,58.0,533.0,1.0,Mississippi,http://www.pro-football-reference.com/players/T/TreaLa00.htm,74,215
98,2016,2,40,Sterling Shepard,WR,23.0,NYG,2016.0,2019.0,0,0,4,16.0,47.0,46.0,14.0,110.0,0.0,215.0,2553.0,15.0,Oklahoma,http://www.pro-football-reference.com/players/S/ShepSt00.htm,70,201
99,2016,2,47,Michael Thomas,WR,23.0,NOR,2016.0,2019.0,1,2,4,38.0,55.0,50.0,1.0,-9.0,0.0,394.0,4662.0,27.0,Ohio St.,http://www.pro-football-reference.com/players/T/ThomMi05.htm,75,212
100,2016,2,55,Tyler Boyd,WR,21.0,CIN,2016.0,2019.0,0,0,2,16.0,48.0,25.0,8.0,67.0,0.0,203.0,2392.0,11.0,Pittsburgh,http://www.pro-football-reference.com/players/B/BoydTy00.htm,74,203
101,2016,3,85,Braxton Miller,WR,23.0,HOU,2016.0,2017.0,0,0,0,2.0,21.0,9.0,4.0,1.0,0.0,34.0,261.0,2.0,Ohio St.,http://www.pro-football-reference.com/players/M/MillBr03.htm,74,215
103,2016,4,107,Chris Moore,WR,23.0,BAL,2016.0,2019.0,0,0,0,4.0,51.0,5.0,10.0,27.0,0.0,47.0,511.0,4.0,Cincinnati,http://www.pro-football-reference.com/players/M/MoorCh00.htm,73,200
104,2016,4,112,Malcolm Mitchell,WR,24.0,NWE,2016.0,2016.0,0,0,0,4.0,14.0,6.0,,,,32.0,401.0,4.0,Georgia,http://www.pro-football-reference.com/players/M/MitcMa01.htm,73,200
105,2016,4,114,Ricardo Louis,WR,22.0,CLE,2016.0,2017.0,0,0,1,3.0,32.0,12.0,,,,45.0,562.0,0.0,Auburn,http://www.pro-football-reference.com/players/L/LouiRi00.htm,74,215
106,2016,4,117,Pharoh Cooper,WR,21.0,LAR,2016.0,2019.0,1,1,0,3.0,38.0,5.0,2.0,8.0,0.0,34.0,268.0,0.0,South Carolina,http://www.pro-football-reference.com/players/C/CoopPh00.htm,71,208
107,2016,4,126,Demarcus Robinson,WR,21.0,KAN,2016.0,2019.0,0,0,2,5.0,56.0,19.0,,,,65.0,818.0,7.0,Florida,http://www.pro-football-reference.com/players/R/RobiDe01.htm,73,203
108,2016,5,140,Tajae Sharpe,WR,21.0,TEN,2016.0,2019.0,0,0,2,8.0,40.0,26.0,2.0,17.0,0.0,77.0,981.0,6.0,Massachusetts,http://www.pro-football-reference.com/players/S/SharTa00.htm,74,194
109,2016,5,154,Jordan Payton,WR,23.0,CLE,2016.0,2016.0,0,0,0,0.0,4.0,0.0,,,,1.0,3.0,0.0,UCLA,http://www.pro-football-reference.com/players/P/PaytJo00.htm,73,216
110,2016,5,163,Trevor Davis,WR,23.0,GNB,2016.0,2019.0,0,0,1,1.0,35.0,4.0,5.0,86.0,1.0,16.0,205.0,1.0,California,http://www.pro-football-reference.com/players/D/DaviTr03.htm,73,188
111,2016,5,165,Tyreek Hill,WR,22.0,KAN,2016.0,2019.0,2,3,3,39.0,51.0,34.0,65.0,487.0,4.0,239.0,3501.0,28.0,West Alabama,http://www.pro-football-reference.com/players/H/HillTy00.htm,70,185
112,2016,5,172,Rashard Higgins,WR,21.0,CLE,2016.0,2019.0,0,0,0,6.0,46.0,6.0,1.0,4.0,0.0,75.0,1009.0,6.0,Colorado St.,http://www.pro-football-reference.com/players/H/HiggRa00.htm,73,198
114,2016,6,186,Jakeem Grant,WR,23.0,MIA,2016.0,2019.0,0,0,0,7.0,48.0,3.0,8.0,16.0,0.0,45.0,555.0,4.0,Texas Tech,http://www.pro-football-reference.com/players/G/GranJa00.htm,67,171
116,2016,6,199,Cody Core,WR,22.0,CIN,2016.0,2019.0,0,0,0,3.0,43.0,7.0,,,,33.0,388.0,1.0,Mississippi,http://www.pro-football-reference.com/players/C/CoreCo00.htm,75,205
117,2016,6,206,Mike Thomas,WR,22.0,LAR,2016.0,2019.0,0,0,0,1.0,32.0,1.0,,,,8.0,130.0,0.0,Southern Miss,http://www.pro-football-reference.com/players/T/ThomMi04.htm,73,189
118,2016,6,213,Aaron Burbridge,WR,22.0,SFO,2016.0,2016.0,0,0,0,1.0,16.0,3.0,,,,7.0,88.0,0.0,Michigan St.,http://www.pro-football-reference.com/players/B/BurbAa00.htm,73,208
120,2016,7,229,Demarcus Ayers,WR,22.0,PIT,2016.0,2016.0,0,0,0,0.0,2.0,1.0,2.0,-12.0,0.0,6.0,53.0,1.0,Houston,http://www.pro-football-reference.com/players/A/AyerDe00.htm,71,190
121,2016,7,230,Daniel Braverman,WR,22.0,CHI,2016.0,2016.0,0,0,0,0.0,3.0,0.0,,,,,,,West. Michigan,http://www.pro-football-reference.com/players/B/BravDa00.htm,70,185
125,2015,1,4,Amari Cooper,WR,21.0,OAK,2015.0,2019.0,0,3,5,31.0,68.0,63.0,7.0,21.0,0.0,316.0,4529.0,30.0,Alabama,http://www.pro-football-reference.com/players/C/CoopAm00.htm,73,210
127,2015,1,14,DeVante Parker,WR,22.0,MIA,2015.0,2019.0,0,0,3,15.0,61.0,37.0,,,,187.0,2560.0,12.0,Louisville,http://www.pro-football-reference.com/players/P/ParkDe01.htm,75,216
128,2015,1,20,Nelson Agholor,WR,22.0,PHI,2015.0,2019.0,0,0,5,18.0,68.0,60.0,11.0,60.0,0.0,214.0,2413.0,18.0,USC,http://www.pro-football-reference.com/players/A/AghoNe00.htm,72,198
129,2015,1,26,Breshad Perriman,WR,21.0,BAL,2016.0,2019.0,0,0,0,6.0,42.0,6.0,6.0,17.0,0.0,62.0,932.0,5.0,Central Florida,http://www.pro-football-reference.com/players/P/PerrBr02.htm,74,215
130,2015,1,29,Phillip Dorsett,WR,22.0,IND,2015.0,2019.0,0,0,0,11.0,64.0,13.0,13.0,84.0,0.0,116.0,1523.0,10.0,Miami (FL),http://www.pro-football-reference.com/players/D/DorsPh00.htm,70,192
131,2015,2,37,Devin Smith,WR,23.0,NYJ,2015.0,2019.0,0,0,0,1.0,18.0,5.0,,,,15.0,248.0,2.0,Ohio St.,http://www.pro-football-reference.com/players/S/SmitDe04.htm,73,199
132,2015,2,40,Dorial Green-Beckham,WR,22.0,TEN,2015.0,2016.0,0,0,0,7.0,31.0,12.0,,,,68.0,941.0,6.0,Oklahoma,http://www.pro-football-reference.com/players/G/GreeDo00.htm,77,225
133,2015,3,69,Tyler Lockett,WR,22.0,SEA,2015.0,2019.0,1,1,4,29.0,71.0,47.0,37.0,253.0,1.0,240.0,3396.0,23.0,Kansas St.,http://www.pro-football-reference.com/players/L/LockTy00.htm,70,182
134,2015,3,70,Jaelen Strong,WR,21.0,HOU,2015.0,2017.0,0,0,0,2.0,20.0,3.0,,,,31.0,330.0,4.0,Arizona St.,http://www.pro-football-reference.com/players/S/StroJa01.htm,74,220
135,2015,3,76,Chris Conley,WR,22.0,KAN,2015.0,2019.0,0,0,3,12.0,61.0,40.0,,,,125.0,1667.0,8.0,Georgia,http://www.pro-football-reference.com/players/C/ConlCh00.htm,75,205
137,2015,3,94,Ty Montgomery,WR,22.0,GNB,2015.0,2019.0,0,0,0,14.0,49.0,15.0,203.0,972.0,7.0,113.0,924.0,3.0,Stanford,http://www.pro-football-reference.com/players/M/MontTy01.htm,72,216
138,2015,4,105,Jamison Crowder,WR,22.0,WAS,2015.0,2019.0,0,0,2,21.0,63.0,32.0,16.0,68.0,0.0,256.0,2950.0,14.0,Duke,http://www.pro-football-reference.com/players/C/CrowJa00.htm,69,177
139,2015,4,107,Justin Hardy,WR,23.0,ATL,2015.0,2019.0,0,0,0,7.0,65.0,5.0,,,,86.0,845.0,9.0,East Carolina,http://www.pro-football-reference.com/players/H/HardJu00.htm,70,192
140,2015,4,123,Vince Mayle,WR,24.0,CLE,2015.0,2017.0,0,0,0,0.0,23.0,0.0,2.0,2.0,1.0,,,,Washington St.,http://www.pro-football-reference.com/players/M/MaylVi00.htm,74,247
141,2015,4,132,DeAndre Smelter,WR,23.0,SFO,2016.0,2016.0,0,0,0,0.0,2.0,0.0,,,,1.0,23.0,0.0,Georgia Tech,http://www.pro-football-reference.com/players/S/SmelDe00.htm,74,227
143,2015,5,146,Stefon Diggs,WR,21.0,MIN,2015.0,2019.0,0,0,5,30.0,63.0,56.0,26.0,116.0,0.0,339.0,4199.0,28.0,Maryland,http://www.pro-football-reference.com/players/D/DiggSt00.htm,72,191
145,2015,5,159,JJ Nelson,WR,23.0,ARI,2015.0,2019.0,0,0,0,12.0,58.0,16.0,12.0,120.0,1.0,85.0,1475.0,11.0,Ala-Birmingham,http://www.pro-football-reference.com/players/N/NelsJJ00.htm,70,160
147,2015,5,175,Keith Mumphery,WR,23.0,HOU,2015.0,2016.0,0,0,0,2.0,27.0,6.0,,,,24.0,198.0,0.0,Michigan St.,http://www.pro-football-reference.com/players/M/MumpKe00.htm,72,215
149,2015,6,186,Geremy Davis,WR,23.0,NYG,2015.0,2019.0,0,0,0,0.0,36.0,1.0,,,,5.0,59.0,0.0,Connecticut,http://www.pro-football-reference.com/players/D/DaviGe00.htm,75,211
150,2015,6,187,Evan Spencer,WR,22.0,WAS,2015.0,2015.0,0,0,0,0.0,1.0,0.0,,,,,,,Ohio St.,http://www.pro-football-reference.com/players/S/SpenEv00.htm,74,208
152,2015,6,204,Darren Waller,WR,22.0,BAL,2015.0,2019.0,0,0,1,2.0,29.0,11.0,2.0,28.0,0.0,64.0,674.0,5.0,Georgia Tech,http://www.pro-football-reference.com/players/W/WallDa01.htm,78,255
156,2015,7,234,Dezmin Lewis,WR,22.0,BUF,2015.0,2016.0,0,0,0,0.0,2.0,0.0,,,,,,,Central Arkansas,http://www.pro-football-reference.com/players/L/LewiDe02.htm,76,214
157,2015,7,238,Mario Alford,WR,23.0,CIN,2015.0,2016.0,0,0,0,0.0,4.0,0.0,,,,1.0,15.0,0.0,West Virginia,http://www.pro-football-reference.com/players/A/AlfoMa00.htm,68,177
158,2015,7,245,Tre McBride,WR,22.0,TEN,2015.0,2017.0,0,0,0,1.0,17.0,3.0,1.0,8.0,0.0,10.0,152.0,1.0,William & Mary,http://www.pro-football-reference.com/players/M/McBrTr00.htm,72,210
159,2014,1,4,Sammy Watkins,WR,21.0,BUF,2014.0,2019.0,0,0,6,30.0,68.0,66.0,8.0,61.0,0.0,260.0,3981.0,31.0,Clemson,http://www.pro-football-reference.com/players/W/WatkSa00.htm,73,211
160,2014,1,7,Mike Evans,WR,21.0,TAM,2014.0,2019.0,0,2,6,42.0,84.0,83.0,,,,433.0,6765.0,46.0,Texas A&M,http://www.pro-football-reference.com/players/E/EvanMi00.htm,77,231
161,2014,1,12,Odell Beckham,WR,21.0,NYG,2014.0,2019.0,0,3,5,42.0,66.0,63.0,17.0,89.0,0.0,424.0,5964.0,45.0,LSU,http://www.pro-football-reference.com/players/B/BeckOd00.htm,71,198
162,2014,1,20,Brandin Cooks,WR,20.0,NOR,2014.0,2019.0,0,0,5,47.0,82.0,71.0,45.0,280.0,2.0,387.0,5549.0,33.0,Oregon St.,http://www.pro-football-reference.com/players/C/CookBr00.htm,70,183
164,2014,2,39,Marqise Lee,WR,22.0,JAX,2014.0,2019.0,0,0,2,17.0,59.0,30.0,16.0,100.0,0.0,174.0,2184.0,8.0,USC,http://www.pro-football-reference.com/players/L/LeexMa00.htm,72,196
165,2014,2,42,Jordan Matthews,WR,22.0,PHI,2014.0,2019.0,0,0,3,23.0,71.0,46.0,,,,270.0,3255.0,22.0,Vanderbilt,http://www.pro-football-reference.com/players/M/MattJo00.htm,75,215
