,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds.1,TD.1,College/Univ,PFR_URL,Height,Weight
554,2002,2,65,Deion Branch,WR,23.0,NWE,2002.0,2012.0,0,0,8,52.0,140.0,111.0,8.0,33.0,0.0,518.0,6644.0,39.0,Louisville,http://www.pro-football-reference.com/players/B/BranDe00.htm,69,195
556,2002,3,87,Cliff Russell,WR,23.0,WAS,2003.0,2008.0,0,0,0,0.0,23.0,1.0,3.0,15.0,0.0,5.0,45.0,0.0,Utah,http://www.pro-football-reference.com/players/R/RussCl00.htm,71,190
558,2002,4,123,Ron Johnson,WR,22.0,BAL,2002.0,2003.0,0,0,0,1.0,22.0,4.0,,,,11.0,126.0,1.0,Minnesota,http://www.pro-football-reference.com/players/J/JohnRo03.htm,74,225
560,2002,5,144,Herb Haygood,WR,24.0,DEN,2002.0,2002.0,0,0,0,0.0,4.0,0.0,,,,,,,Michigan St.,http://www.pro-football-reference.com/players/H/HaygHe20.htm,71,193
561,2002,5,149,Jason McAddley,WR,23.0,ARI,2002.0,2005.0,0,0,1,4.0,34.0,11.0,,,,38.0,578.0,1.0,Alabama,http://www.pro-football-reference.com/players/M/McAdJa00.htm,74,200
562,2002,5,151,Jake Schifino,WR,22.0,TEN,2003.0,2004.0,0,0,0,0.0,14.0,0.0,,,,,,,Akron,http://www.pro-football-reference.com/players/S/SchiJa20.htm,73,200
564,2002,5,170,Sam Simmons,WR,22.0,MIA,2003.0,2003.0,0,0,0,0.0,11.0,0.0,,,,,,,Northwestern,http://www.pro-football-reference.com/players/S/SimmSa20.htm,69,200
565,2002,6,184,Kahlil Hill,WR,23.0,ATL,2002.0,2002.0,0,0,0,0.0,1.0,0.0,,,,,,,Iowa,http://www.pro-football-reference.com/players/H/HillKa20.htm,74,200
566,2002,6,202,Lee Mays,WR,23.0,PIT,2002.0,2006.0,0,0,0,1.0,49.0,1.0,,,,11.0,154.0,0.0,Texas-El Paso,http://www.pro-football-reference.com/players/M/MaysLe00.htm,74,192
567,2002,6,203,Jamin Elliott,WR,22.0,CHI,2002.0,2006.0,0,0,0,0.0,3.0,0.0,,,,,,,Delaware,http://www.pro-football-reference.com/players/E/ElliJa00.htm,72,195
568,2002,6,206,Javin Hunter,WR,22.0,BAL,2002.0,2002.0,0,0,0,0.0,12.0,3.0,1.0,9.0,0.0,5.0,35.0,0.0,Notre Dame,http://www.pro-football-reference.com/players/H/HuntJa00.htm,71,190
571,2002,7,222,Kendall Newson,WR,22.0,JAX,2003.0,2003.0,0,0,0,1.0,6.0,0.0,,,,2.0,55.0,0.0,Middle Tenn. St.,http://www.pro-football-reference.com/players/N/NewsKe00.htm,73,197
572,2002,7,225,Darrell Hill,WR,23.0,TEN,2002.0,2004.0,0,0,0,0.0,33.0,0.0,,,,,,,Northern Illinois,http://www.pro-football-reference.com/players/H/HillDa20.htm,74,200
573,2002,7,226,Daryl Jones,WR,23.0,NYG,2002.0,2004.0,0,0,0,1.0,15.0,6.0,1.0,4.0,0.0,8.0,90.0,0.0,Miami (FL),http://www.pro-football-reference.com/players/J/JoneDa02.htm,69,190
574,2002,7,235,Ronald Curry,WR,23.0,OAK,2002.0,2008.0,0,0,2,16.0,76.0,32.0,5.0,3.0,0.0,193.0,2347.0,13.0,North Carolina,http://www.pro-football-reference.com/players/C/CurrRo01.htm,74,220
576,2002,7,253,David Givens,WR,22.0,NWE,2002.0,2006.0,0,0,2,22.0,58.0,32.0,3.0,16.0,0.0,166.0,2318.0,12.0,Notre Dame,http://www.pro-football-reference.com/players/G/GiveDa00.htm,72,212
